поколение,блок,код,название/гипотеза,данные,постановка,исходный_вердикт,статус_после_сверки_gen3,артефакты
gen3,B2b,B2b,P — региональный инвариант на held-out данных,"ERA5 850гПа u,v 0.25° 6ч; 8 НОВЫХ регионов × 2021-22 (32 окна)",Исправленные метрики: дистанционная кластеризация + спектральная резидуализация; преregистрировано,POSITIVE: сигнатура p=0.001; сверх спектра p=0.029,Сигнатура стоит (реплицирована B8); «сверх спектра» условен после контроля геометрии (p=0.10),results/experiment_B2b_heldout_invariants/
gen3,B3,B3,P против скаттеринг-статистик (позиционирование новизны),"ERA5 850гПа u,v 0.25° 6ч; 12 регионов × 2023-24 (48 окон)",Двусторонняя LOO-PCA резидуализация P против 21 скаттеринг-признака,NOVEL: P сверх скаттеринга p=0.026; скаттеринг сверх P p=0.001; взаимодополнительны,Стоит с оговоркой обменности (p маргинален); якорная форма — основная,results/experiment_B3_scattering_benchmark/
gen3,B3,E1,Связка с семифрактальными признаками Кренке-Пузаченко,из B3,Излом степенного спектра + субгармоники остатков; резидуализация P на F_frac,P не объясняется семифрактальными признаками (p=0.001); изломы 141-225 км стабильны,Стоит,results/experiment_B3_scattering_benchmark/e1_semifractal.json
gen3,B4,E2,"Кривизна как дескриптор (эксплорация, объявлена)",из B3,"‖F‖, Λ со знаком, |Λ| — кластеризация, сверх спектра, сверх P",‖F‖ и |Λ| сильны; Λ со знаком мертва (p=0.7),Мотивировала B4,results/experiment_B3_scattering_benchmark/e2_curvature_summary.json
gen3,B4,B4,‖F‖ — региональный инвариант сверх спектра и P,"ERA5 850гПа u,v 0.25° 6ч; curvature-naive годы 2017-19+2021-22 (48 окон)",Подтверждение на незатронутых годах; H4a/H4b кластеризации; H4c ковариаты,CONFIRMED: H4a/H4b p=0.001; H4c LOO R²=0.27 p=0.023,"H4a/H4b стоят (устойчивы к геометрии, реплицированы B8); H4c ДЕГРАДИРОВАН до констатации океан/суша (джекнайф)",results/experiment_B4_curvature_invariant/
gen3,B5,B5c,Интегрируемость связности (согласованность путей время×масштаб),B4-набор,Расхождение путей против фазового нуля,PASS 48/48 против пространственного фазового нуля,РЕТРАГИРОВАН: корректный темпоральный нуль → 7/48; тест мерял автокорреляцию (ошибка конструкции нуля),results/experiment_B5_gauge_structure/
gen3,B5,B5c-retest,"Ретест интегрируемости с нулём, сохраняющим временной спектр",B4-набор,Помодовая временная фазовая рандомизация коэффициентов,FAIL 7/48 — интегрируемость не подтверждена,Основание ретракции B5c,results/experiment_B5_gauge_structure/b5c_retest_summary.json
gen3,B5,B5b,Универсальный ковариатный закон формы (коллапс),профили B3+B4,log‖F‖ ~ CAPE+суша+орография+офсеты полос; сжатие кластеризации остатков,"FAIL: R²=0.58 (уровень), форма не коллапсирует",Стоит,results/experiment_B5_gauge_structure/b5b_collapse.json
gen3,B5,B5a,Локальный мгновенный источник кривизны (осадки),b2b ветер + осадки ERA5 (32 окна),"Тайлы 3×4; Спирмен (тайл,t); блочные перестановки; центроиды",FAIL 0/32 (медианный ρ=-0.04),Стоит,results/experiment_B5_gauge_structure/b5a_source.json
gen3,B5,B5d,Инвариантность к уровню (500 гПа),"ветер 500 гПа, 24 окна",Полный ‖F‖-пайплайн на 500 гПа; межуровневый Спирмен,FAIL: сигнатура p=0.18; межуровневая ρ=0.43 p=0.17,Стоит (850-специфичность),results/experiment_B5_gauge_structure/b5d_level500.json
gen3,B6,E6,Заряд-разряд: три постановки тайлов кривизна-осадки (эксплорация),b2b + осадки,A1 климатология; A2 лаги; A3 режимное сглаживание,A3: антикорреляция 29/32; A2: рост с лагом до 2 сут,ПЕРЕИНТЕРПРЕТИРОВАН: ~половина — память W=20 оценивателя; сроки = жизненный цикл CAPE (Masunaga 2012),results/experiment_B5_gauge_structure/e6a_tile_formulations.json
gen3,B6,B6a,Динамическое уравнение источника-стока dC=a+αE-βR-γC,b2b ветер+осадки+CAPE 6ч (32 окна),"Тайловые ряды; фит R5-R8, валидация R9-R12; преregистрировано","FAIL: β>0 в 13/16, но α>0 лишь 4/16; held-out 7/16; 1/γ≈2 сут ≈ память окна",Динамика не установлена,results/experiment_B6_source_sink/b6a_source_sink.json
gen3,B6,B6b,"Драйвер моды ρ₅ (широта, сдвиг 850-500)",профили + wind500,"LOO-регрессия ρ₅ на [|широта|, сдвиг]; расширенная таблица",FAIL: LOO R²=-0.62 p=0.65; одиночные предикторы незначимы,Драйвер не найден,results/experiment_B6_source_sink/b6b_rho5_driver.json
gen3,B6,N1,Коллапс перекладкой лестницы на характерную шкалу,профили B3 + изломы E1,Ось ℓ/L_break и ℓ/L_Россби; интерполяция; кластеризация,Частично: L_break снимает 23% сигнатуры; Россби — антиколлапс,Стоит как частичный результат,скрипты gen3
gen3,B6,N4,Подпись — артефакт зональной полосчатости?,b3 ветер,Удаление зонального среднего до октав; пересчёт P,НЕТ: чистка УСИЛИВАЕТ сигнатуру (1.47 против 1.20),Стоит,results/experiment_B6_source_sink/n4_zonal_removed.json
gen3,B6,N2,Влагоперенос (IVT) упрощает профиль до простой кривой?,IVT ERA5 12 регионов × W9-W10,Профиль на curl(IVT); сравнение кластеризаций,НЕТ: IVT-профили кластеризуются сильнее (0.91 против 0.73),Стоит,results/experiment_B6_source_sink/b6n2_ivt_summary.json
gen3,B7,B7,Инварианты несут информацию о невязке влагобюджета,ERA5 TCWV+E+P+IVT+ветер; 24 окна 2023,r(t)=dW/dt+div(IVT)-(E-P); ридж; инкремент сверх бейзлайна out-of-time,NEGATIVE: медианный инкремент -0.018; знаковый тест p=0.92,Исходный вопрос программы закрыт отрицательно,results/experiment_B7_moisture_closure/
gen3,AUDIT,RT,Независимый red-team аудит программы,весь репозиторий,"Проверка постановок, данных, математики; 4 собственных вычислительных контроля","Найдены: дефект нуля 5c (фатально), память оценивателя, базлайн перекрытия октав, хрупкость H4c, конфаунд геометрии","Ремедиация выполнена (ретест 5c, контроль геометрии, якорение)",docs/RECONCILIATION.md
gen3,AUDIT,GEO,Контроль геометрии боксов,профили B3/B4,Резидуализация на [спектр + |широта| + dx + ширина],P: p=0.003→0.100 (деградация «сверх спектра»); ‖F‖: p=0.001→0.001 (устойчив),Ключевой водораздел P против ‖F‖,docs/RECONCILIATION.md
gen3,B8,B8,Межреанализная репликация (MERRA-2),MERRA-2 M2I6NPANA 850гПа; 12 регионов × 2023-24 (48 окон),Разрешённая лестница от 200 км; H8a сигнатура; H8b согласие географии с ERA5,REPLICATED: H8a p=0.001; H8b ρ=0.93 p<1e-4; P тоже p=0.001,"Инвариант атмосферный, не артефакт ERA5; оговорка об общей наблюдательной сети",results/experiment_B8_cross_reanalysis/
gen4,B9,B9,Индекс A предсказывает скорость роста ошибки ансамблевого прогноза,"NOAA GEFS v12 + ERA5, 39 областей","Фаза 9, протокол заморожен 2026-08-15",—,ОТРИЦАТЕЛЬНО: знак противоположен (-0.25/-0.32); рост ошибки определяется бароклинностью (+0.86 с |широтой|); плацебо дисперсии полосы 0.81,results/experiment_B9_predictability/
gen4,B10,B10,Индекс A предсказывает уровень мезомасштабной ошибки анализа,"GEFS/GDAS анализ + ERA5, 27 новых доменов решётки","Фаза 10, протокол заморожен 2026-08-15",—,"ОТРИЦАТЕЛЬНО: сырые +0.34/+0.40, после контролей -0.19/-0.005; внутридоменное плечо меняет знак; плацебо -0.87",results/experiment_B10_irrecoverability/
gen4,B11,B11,Индекс A предсказывает потерю мезомасштаба нейросетевыми моделями прогноза,"WeatherBench 2: GraphCast, Pangu, GenCast, HRES, ERA5","Фаза 11, протокол заморожен 2026-08-15",—,"ОТРИЦАТЕЛЬНО для A (после контролей -0.08, плацебо -0.69). ПОЛОЖИТЕЛЬНО как самостоятельный результат: дефицит 69/55/85 % у систем условного среднего против ~0 % у HRES и одиночной генеративной выборки",results/experiment_B11_learned_refinement/
gen4,B12,B12,Индекс A есть добросовестная оценка межуровневой невосстановимости,"Синтетические поля с заданной невосстановимостью + ERA5, 39 доменов","Фаза 12, протокол заморожен 2026-08-16",—,"ОЦЕНЩИК НЕВАЛИДЕН: A не реагирует ни в пространственном (-0.32), ни в модальном (-0.35) прочтении; следует за временной автокорреляцией (1.00 синтетика, +0.53 реальные). ИНТЕРПРЕТАЦИЯ A ОТОЗВАНА. P на той же лестнице -0.883, эталон u +0.917",results/experiment_B12_estimator_validity/
gen4,B13,B13,География дескрипторов сохраняется без усвоения наблюдений,"CMIP6 HighResMIP highresSST-present, ECMWF-IFS-HR, 39 доменов","Фаза 13, протокол заморожен 2026-08-16",—,"АТМОСФЕРНО: P 0.71 (потолок 0.93), A 0.90 (0.90), u 0.77 (0.81), персистентность 0.98 (0.98), все p=0.001. Конфаунд наблюдательной сети ЗАКРЫТ",results/experiment_B13_free_running/
